Site ID;Site Name;Dept;Latitude;Longitude;Class;Uplink;Ip Adress;Type;Slot Port;
BEK001;Semelantan;NS PONTIANAK;0,79510802;109,1959991;Silver;GPON02-D6-RBA-2SMLT;172.20.168.80;hua-direct_olt;0/3/2;#REF!
BEK002;Ledo;NS PONTIANAK;1,035079956;109,6039963;Silver;SW_BEK002;172.25.145.40;switch;GE0/1/5;#REF!
BEK003;Sanggau_Ledo;NS PONTIANAK;1,147169948;109,697998;Silver;L2SW_BEK003;172.25.146.75;switch;GE1;#REF!
BEK004;Seluas;NS PONTIANAK;1,282969952;109,8529968;Silver;BEK004_SELUAS;172.25.146.104;switch;GE1-3;#REF!
BEK005;BengkayangKota;NS PONTIANAK;0,816640019;109,4820023;Platinum;ME-D6-BKY-3;172.31.150.119;metro;1/2/2;#REF!
BEK005_2;BengkayangKota;NS PONTIANAK;0,816640019;109,4820023;Platinum;ME-D6-BKY-3;172.31.150.119;metro;1/2/7;#REF!
BEK006;Sei_Pangkalan;NS PONTIANAK;0,670830011;108,9229965;Gold;GPON01-D6-SDR-2;172.20.168.94;hua-ont;0/1/1 0;#REF!
BEK007;Serukam/Serukan;NS PONTIANAK;0,796679974;109,3420029;Silver;TSEL_BEK047_SERUKAM;172.25.146.59;switch;GE5;#REF!
BEK008;Bengkayang_Repeater;NS PONTIANAK;0,853169978;109,5039978;Gold;GPON00-D6-BKY-2;172.20.161.137;hua-ont;0 1 6 14;#REF!
BEK009;Monterado;NS PONTIANAK;0,756111026;109,1350021;Silver;-;-;-;-;-
BEK010;Teluk_Suak;NS PONTIANAK;0,792219996;108,8600006;Silver;GPON01-D6-SNW-2TLS;172.20.161.168;hua-ont;0/0/11 0;#REF!
BEK011;KUMBA;NS PONTIANAK;1,431750059;109,6029968;Gold;-;-;-;-;-
BEK012;Tariak/Teriak;NS PONTIANAK;0,801320016;109,5199966;Silver;GPON00-D6-BKY-2;172.20.161.137;hua-ont;0/5/6 23;#REF!
BEK013;JagoiBabang;NS PONTIANAK;1,331889987;109,9290009;Gold;-;-;-;-;-
BEK015;BABANE;NS PONTIANAK;0,791899979;109,2659988;Silver;GPON02-D6-RBA-2SMLT;172.20.168.80;hua-direct_olt;0/3/3;#REF!
BEK016;Sei_Betung/RoadSeruk;NS PONTIANAK;0,812557995;109,3830032;Silver;GPON00-D6-BKY-2;172.20.161.137;hua-ont;0 7 3 2;#REF!
BEK017;Belimbing/Bananatas/;NS PONTIANAK;0,974938989;109,5139999;Silver;ME-D6-BKY-3;172.31.150.119;metro;gei-0/7/0/3;#REF!
BEK018;Ackaya/Sei_Pangkalan_2;NS PONTIANAK;0,613777995;108,9339981;Gold;GPON01-D6-SDR-2;172.20.168.94;zte-ont;0/1/1 2;#REF!
BEK019;CAPAKALA;NS PONTIANAK;0,666781008;109,0400009;Gold;SW-D6-MPW001-TSEL-STO-SDI-4;172.25.146.32;switch;ge-1/0/2;#REF!
BEK020;;NS PONTIANAK;;;;GPON02-D6-RBA-2SMLT;172.20.168.80;hua-ont;0/1/5/1;#REF!
BEK021;AncolSeiDuriDCS-21/SeiDuri2;NS PONTIANAK;0,567189991;108,9300003;Silver;GPON01-D6-SDR-2;172.20.168.94;zte-ont;0 1 14 1;#REF!
BEK022;SungaiRayaKepulauan(SeiPangkalan-Cap);NS PONTIANAK;0,708889008;108,8899994;Silver;GPON02-D6-SNW-2KMT;172.20.161.165;hua-ont;0/0/0 1;#REF!
BEK023;;NS PONTIANAK;;;;GPON01-D6-SNW-2TLS;172.20.161.168;zte-ont;0/1/13 1;#REF!
BEK024;PTI_DESA_LEMBANG_2;NS PONTIANAK;;;Gold;GPON01-D6-BKY-2LEDO;172.20.169.32;hua-ont;0 2 2 5;#REF!
BEK025;;NS PONTIANAK;;;;GPON01-D6-BKY-2LEDO;172.20.169.32;hua-ont;0 2 2 1;#REF!
BEK029;PencetusSawitAndalan;NS PONTIANAK;1,183619976;109,7809982;Silver;GPON01-D6-BKY-2LEDO;172.20.169.32;zte-ont;0 2 1 1;#REF!
BEK031;MTKANDASAN;NS PONTIANAK;1,08047998;109,6470032;Silver;-;-;-;-;-
BEK036;PT.LEDOLESTARI;NS PONTIANAK;1,441820025;109,7659988;Gold;-;-;-;-;-
BEK037;Belangko;NS PONTIANAK;1,463760018;109,7139969;Gold;-;-;-;-;-
BEK038;MTLESABELAMG;NS PONTIANAK;1,062340021;109,5759964;Silver;SW_BEK002;172.25.145.40;switch;GE0/1/6;#REF!
BEK039;MTSANGOMG;NS PONTIANAK;1,171700001;109,737999;Silver;L2SW_BEK003;172.25.146.75;switch;GE2;#REF!
